X1;review_content;
227533;Casino Royale es una gran cinta y un válido intento por rescatar a la franquicia de la fantasía y el marasmo irreal en que estaba sumida.;
227534;A praiseworthy production which all but renders the carefully-cultivated James Bond franchise unrecognizable, adding up to an exercise in frustration for purists expecting a familiar 007 spectacular.;
227535;NA;
227536;This franchise is now energized and I can not wait for the next entry.;
227537;NA;
227538;Dudosamente sea la mejor de la serie, pero <PERSON>Daniel Craig</PERSON> le imprime a su James Bond una crudeza y humanidad interesantes.;
227539;'Casino Royale' finally restores 007 to his Cold War prowess.;
227540;<PERSON>Craig</PERSON> is also the best Bond in the franchise's history.;
227541;The best Bond in years and one of the best of all time.;
227542;It works. Although it may be different, thanks to <PERSON>Craig</PERSON> it's the best Bond in decades.;
227543;"<ORGANIZATION>""Casino Royale</ORGANIZATION> is a great action movie, but it rises above the genre because of <PERSON>Daniel Craig</PERSON>'s wonderfully fresh portrait of Bond and a great script. This is an exciting and engrossing, stand-on-line, see-on-a-big-screen, buy-the-popcorn-movie.""";
227544;I consider <PERSON>Daniel Craig</PERSON> to be the most effective and appealing of the six actors who have played 007, and that includes even <PERSON>Sean Connery</PERSON>.;
227545;In continuing to move the movie series forward with new ideas that don't lack respect for the old, they've made Bond relevant to a new generation.;
227546;I hope <PERSON>Craig</PERSON> finds more moments like that in Bond. And I hope he gets to wear that tuxedo again and again and again.;
227547;This is James Bond before sassy self-awareness set in, and it rattles the cages more than any number of explosions could in letting us know why he's still relevant today.;
227548;Takes us closer to the Bond that <PERSON>Fleming</PERSON> created. We see more vulnerable moments in him, more man than superman. And surprisingly, that makes the legend even stronger.;
227549;"When you strip the 007 films down for action and \realism,\"" you lose the soul of those old beloved Bond movies.""";
227550;"<ORGANIZATION>""Casino Royale</ORGANIZATION> has the answers to all my complaints about the 45-year-old James Bond series, and some I hadn't even thought of.""";
227551;A great restart for the series;
227552;"<ORGANIZATION>""Casino Royale</ORGANIZATION> isn't simply the best Bond film in years. It is one of the best Bond films ever.""";
227553;Gone are the clichés of recent Bond adventures - the too-clever quips, the loveless conquests, the gaudy gadgetry and the <ORGANIZATION>BMW</ORGANIZATION>-sponsored sports cars. 'Casino Royale' ambitiously explores the origins of the character's pathos, stripping him of all the;
227554;"The last words onscreen read: \James Bond Will Return!\"" Of course he will. The difference is that for the first time in years, we actually want him back.""";
227555;"<PERSON>Craig</PERSON> does OK in the role; no one has ever matched <PERSON>Sean Connery</PERSON>'s steely insouciance, but he comes closer than most.";
227556;Bond as a human being? Who'd'a'thunk?;
227557;Good to have you back, 007.;
227558;... a tense, gripping thriller mercifully free of the baggage of the previous Bond flicks, <ORGANIZATION>Casino Royale</ORGANIZATION> takes the essentials of <PERSON>Ian Fleming</PERSON>'s novel and updates them for the <DATE>21st century</DATE>, seamlessly adding the requisite big screen action ...;
227559;A strong, well defined story, some unexpected betrayals and hidden corners, sensational locations and an absence of gadgets make Casino Royale a right royal Bond movie.;
227560;Gritty and thrilling, <ORGANIZATION>Casino Royale</ORGANIZATION> has it all - action, glamour, spectacular locations and a new Bond that is above all, vulnerable.... Whether you can follow the <LOCATION>Texas</LOCATION> Hold 'Em poker game, it matters not.;
227561;Every era gets the James Bond it deserves. Ours gets a Bond who's strong and forceful but also reckless and arrogant, who blunders into tricky situations in Third World countries and makes a bloody mess of things.;
227562;A Bond for our times, indeed;
227563;It left me stirred, if not shaken.;
227564;<PERSON>Daniel Craig</PERSON> brings originality <PERSON>James Bond</PERSON>, playing the super spy as ruthless, arrogant and cocky, but also bringing much more depth and emotion than any other actor before him.;
227565;"<ORGANIZATION>""Casino Royale</ORGANIZATION> is a welcome break from the past and a strong and entertaining film in its own right, proving the continuing viability of <ORGANIZATION>Fleming</ORGANIZATION>'s creation 50 years after his inception.""";
227566;Let's say straight off that <PERSON>Craig</PERSON> is very good indeed: everything about his performance shows cunning and grace.;
227567;A muscular, wildly successful attempt to strip the lucrative James Bond franchise back to basics.;
227568;A streamlined back to basics approach for Bond that hits all the right marks in rejuvenating the franchise for a new generation.;
227569;GOLDFINGER? SHMOLDFINGER! CASINO ROYALE is the best James Bond movie to date. Not only that, but it is also one of the best action movies ever made. And now, has become one of my favorite films. This is a classic.;
227570;"<ORGANIZATION>""Casino Royale</ORGANIZATION> is exactly what the franchise needs to keep in the game against the <LOCATION>Bournes</LOCATION> and Missions: Impossible of the world.""";
227571;This is a much more serious Bond than we've seen in many years. <PERSON>Daniel Craig</PERSON> inhabits the dark side of the secret agent really well, he is absolutely the best Bond since <ORGANIZATION>Connery</ORGANIZATION>.;
227572;<PERSON>Craig</PERSON>'s humanised, more flawed interpretation of the role balances <ORGANIZATION>Campbell</ORGANIZATION>'s physical direction and co-writer <PERSON>Paul Haggis</PERSON>'s sparing wit, while <ORGANIZATION>Eva Green</ORGANIZATION> provides an alluring love interest.;
227573;I think this is a very intelligent film for a Bond film, and certainly one of the most enjoyable.;
227574;This is a Bond movie, and everything comes back to him and the actor who plays him. The filmmakers took a big gamble on <PERSON>Daniel Craig</PERSON> and on a script that updates everything. This time, the gamble paid off.;
227575;The screenwriters have brought Bond back toward the book.;
227576;Why see yet another James Bond movie? Because Casino Royale, <ORGANIZATION>Martin Campbell</ORGANIZATION>'s rewiring of the series, is a real movie, and not just a James Bond movie.;
227577;The ace up the film's sleeve is <PERSON>Craig</PERSON>'s foil, <PERSON>Eva Green</PERSON>, playing <PERSON>Vesper Lynd</PERSON>, the British accountant assigned to bankroll Bond's escapades. Calling her a Bond Girl would be an oversimplification.;
227578;Unlike recent Bonds, whose kills had no more weight than the one-liners that generally accompanied them, <PERSON>Craig</PERSON>'s tend to be intimate, bloody, and devoid of glamour.;
227579;"<ORGANIZATION>""Casino Royale</ORGANIZATION> mostly succeeds as an introduction to a badder Bond than ever. When <PERSON>Craig</PERSON>'s Bond finally dons a tuxedo and checks himself in a mirror, it's like watching Darth Vader first put on the helmet, a neo-iconic sight.""";
227580;It's as close to <ORGANIZATION>Fleming</ORGANIZATION>'s books as we've seen since the early days of <PERSON>Sean Connery</PERSON>. And it's darker, for sure, and more brutal than almost all of the movies.;
227581;A film that strips most of the glamour and escapism from Bond, but remains the truest and toughest instalment yet.;
227582;<PERSON>Daniel Craig</PERSON>, an excellent actor, has more than earned his <ORGANIZATION>Walther PPK</ORGANIZATION>.;
227583;"<ORGANIZATION>""Casino Royale</ORGANIZATION> takes us back to basics. To a leaner production and to a Bond who looks like he can do serious damage""";
227584;The result is a satisfyingly gritty tale, more grounded in reality than many entries in the franchise.;
227585;Basically, <PERSON>Craig</PERSON>'s Bond is a new and individual creation.;
227586;<PERSON>Craig</PERSON> brings beef, biff and a slightly lonely dimension to the character. He's a fine actor and he has some of the working-class bile of the young <PERSON>Michael Caine</PERSON>. A new <ORGANIZATION>James Bond</ORGANIZATION> has certainly arrived.;
227587;The pay off is pay dirt.;
227588;For fans of the no-nonsense, rugged sexuality of the <PERSON>Sean Connery</PERSON> original model, <PERSON>Craig</PERSON> is the heir to that hallowed throne.;
227589;While <PERSON>Craig</PERSON> owns the movie, he gets much capable support. Green's Bond babe believably has more on the ball than many of her predecessors, while <PERSON>Dench</PERSON>, returning as M, Bond's boss, has perfected her sighs of exasperation.;
227590;"When Bond kills an adversary in a hotel stairwell, the violence is nasty and brutal - and you feel bystander <PERSON>Vesper</PERSON>'s shock and revulsion too. She doesn't merely wince and get over it, as so many of her predecessors did; she's clearly traumatised.";
227591;Bond is back. Bond is beefy. And the new Bond is blond. <PERSON>Daniel Craig</PERSON> has comfort ably slipped into the tuxedo, size 007, and left audiences shaken and stirred.;
227592;<PERSON>James Bond</PERSON> is back, and as it turns out, he's been gone a lot longer than anyone even realized.;
227593;In <PERSON>Daniel Craig</PERSON>, the producers found a suitably tarnished and brutal icon for this new iteration of Bond;
227594;The film has breathless stunts and encounters aplenty.;
227595;"'Casino Royale' is not only the \best of all time\"" Bond movie, but also one of the strongest vehicles in the action genre we've seen since the beginning of the century. [Full Review in Spanish]""";
227596;I've been a fan of <PERSON>Craig</PERSON> since the little known Layer Cake and I am happy to say he does an outstanding job as Bond;
227597;In all the Bond movies, this is the most emotional and personal Bond adventure I've seen.;
