source,target,type,attribute
408,129,Type_A,2.5
318,321,Type_C,0.86
366,132,Type_A,1.43
351,269,Type_C,3.36
402,314,Type_A,3.04
12,394,Type_C,1.66
408,250,Type_B,2.67
224,429,Type_B,1.25
220,50,Type_A,0.53
18,180,Type_A,2.37
412,485,Type_C,2.87
278,405,Type_B,2.78
371,75,Type_B,2.5
68,266,Type_C,2.29
99,290,Type_C,1.85
12,142,Type_C,0.92
310,473,Type_C,2.67
466,83,Type_A,0.93
85,211,Type_B,1.19
35,390,Type_C,2.78
410,416,Type_A,1.5
312,375,Type_B,3.17
360,186,Type_C,2.74
34,287,Type_B,2.12
144,9,Type_C,1.7
464,365,Type_B,1.36
341,294,Type_B,3.31
399,155,Type_A,2.99
351,115,Type_B,2.95
175,118,Type_C,3.49
437,38,Type_A,1.87
460,287,Type_B,1.83
234,469,Type_A,0.72
98,428,Type_A,2.93
159,295,Type_C,1.98
46,274,Type_B,0.88
166,190,Type_A,0.87
496,65,Type_A,2.98
479,241,Type_A,2.07
116,189,Type_C,1.17
201,413,Type_A,2.21
146,68,Type_A,2.66
57,368,Type_C,0.71
217,357,Type_B,1.08
22,410,Type_B,0.8
177,55,Type_C,2.21
114,264,Type_A,2.54
1,207,Type_C,0.72
279,188,Type_C,1.73
138,69,Type_C,1.07
422,273,Type_A,2.47
279,44,Type_C,2.1
477,437,Type_B,1.59
260,439,Type_A,2.34
367,193,Type_C,1.26
487,109,Type_A,1.29
164,242,Type_B,1.03
142,340,Type_A,2.9
336,434,Type_A,1.85
344,29,Type_B,0.73
474,175,Type_B,1.04
445,377,Type_C,2.43
106,273,Type_C,2.1
401,456,Type_B,1.25
233,463,Type_A,0.58
366,89,Type_A,1.32
161,65,Type_C,1.0
146,202,Type_C,1.96
133,232,Type_C,1.31
229,465,Type_C,1.14
241,439,Type_B,3.0
281,475,Type_B,2.76
155,27,Type_C,2.42
433,380,Type_C,2.89
378,444,Type_A,2.39
385,303,Type_A,2.74
372,370,Type_B,1.85
263,234,Type_C,1.5
398,13,Type_A,1.95
334,114,Type_C,1.43
142,209,Type_B,2.11
307,96,Type_A,1.35
256,459,Type_A,2.96
392,240,Type_B,3.36
490,217,Type_A,3.45
18,258,Type_B,3.19
69,489,Type_C,1.51
6,24,Type_C,0.52
336,15,Type_C,2.73
79,130,Type_B,2.71
425,129,Type_B,1.68
127,286,Type_C,1.52
311,107,Type_C,0.83
319,227,Type_C,0.83
85,60,Type_A,0.83
419,314,Type_B,2.55
448,112,Type_A,0.99
401,302,Type_B,3.48
105,389,Type_B,2.11
492,420,Type_A,1.4
184,304,Type_C,2.49
230,420,Type_B,2.91
236,314,Type_A,2.92
488,306,Type_B,0.91
331,322,Type_A,2.36
180,455,Type_A,3.02
294,440,Type_A,0.97
253,259,Type_C,2.02
205,219,Type_A,2.46
89,416,Type_B,1.93
244,439,Type_A,1.77
32,31,Type_C,1.77
161,441,Type_C,0.77
430,157,Type_B,2.28
275,54,Type_B,2.29
358,317,Type_A,0.5
305,162,Type_C,2.36
90,237,Type_B,2.81
80,43,Type_B,2.76
118,335,Type_C,0.56
330,111,Type_B,3.37
221,433,Type_C,1.28
118,191,Type_C,3.44
264,430,Type_B,1.93
96,330,Type_C,1.71
88,326,Type_A,0.83
281,46,Type_C,1.04
312,299,Type_B,0.59
392,328,Type_C,2.8
464,204,Type_B,1.7
121,359,Type_B,2.2
1,177,Type_B,1.57
327,198,Type_B,1.04
167,66,Type_C,1.31
466,213,Type_B,2.6
76,207,Type_B,0.83
307,485,Type_A,0.92
104,391,Type_B,2.18
181,265,Type_B,0.81
274,164,Type_C,1.86
167,452,Type_B,1.67
233,397,Type_C,2.08
136,464,Type_B,2.7
347,10,Type_B,0.81
284,70,Type_A,3.03
457,141,Type_C,1.37
446,397,Type_B,2.49
157,294,Type_A,2.71
493,100,Type_C,1.71
284,106,Type_C,3.4
15,210,Type_A,2.46
55,246,Type_A,2.04
167,344,Type_A,3.25
104,404,Type_B,1.03
38,50,Type_A,3.39
77,41,Type_A,3.03
179,434,Type_B,1.39
374,493,Type_C,1.48
429,200,Type_C,0.58
306,358,Type_C,0.89
333,348,Type_A,0.66
125,319,Type_B,2.47
50,145,Type_B,0.57
121,205,Type_A,1.65
469,357,Type_C,2.14
244,275,Type_B,1.76
99,302,Type_A,0.53
489,228,Type_B,3.07
319,305,Type_C,0.71
322,51,Type_C,2.71
103,421,Type_A,2.19
41,217,Type_A,1.22
434,148,Type_C,1.89
136,454,Type_C,1.41
429,298,Type_C,2.94
45,43,Type_A,0.94
202,26,Type_B,1.2
180,353,Type_A,1.01
139,86,Type_C,1.18
35,114,Type_A,3.4
113,70,Type_C,3.07
378,224,Type_B,2.87
364,289,Type_C,1.55
28,111,Type_B,3.04
5,127,Type_B,1.53
46,430,Type_B,2.46
132,24,Type_C,2.24
2,323,Type_C,1.27
290,381,Type_C,1.8
392,20,Type_A,0.51
100,257,Type_B,1.86
281,3,Type_C,2.41
3,324,Type_A,0.8
215,323,Type_B,1.02
225,373,Type_A,1.47
381,211,Type_C,3.08
420,468,Type_B,2.1
444,416,Type_A,3.18
357,119,Type_C,1.32
202,245,Type_B,3.38
132,446,Type_C,0.64
316,267,Type_A,1.93
455,282,Type_C,3.12
299,443,Type_C,1.57
364,423,Type_A,3.12
357,240,Type_C,1.53
8,272,Type_A,1.25
463,178,Type_C,1.48
191,473,Type_C,1.66
211,42,Type_C,0.95
161,221,Type_B,0.96
13,472,Type_C,0.51
27,370,Type_A,0.72
60,403,Type_C,1.62
193,438,Type_A,2.1
408,363,Type_C,2.59
226,472,Type_C,0.52
138,359,Type_B,2.53
343,499,Type_A,0.71
405,294,Type_A,3.02
315,400,Type_C,2.04
221,393,Type_C,2.18
495,367,Type_C,3.29
94,23,Type_C,0.88
207,314,Type_C,2.82
44,287,Type_B,0.56
404,41,Type_C,2.56
154,424,Type_C,2.47
169,58,Type_A,0.96
355,185,Type_A,2.52
166,169,Type_A,2.17
387,137,Type_C,1.15
478,255,Type_C,1.73
391,107,Type_B,2.72
81,210,Type_C,0.76
29,20,Type_A,1.08
111,498,Type_A,1.74
154,51,Type_B,2.97
345,256,Type_C,1.9
226,76,Type_C,2.27
385,63,Type_B,0.74
168,214,Type_C,2.63
114,243,Type_B,0.54
294,210,Type_B,3.09
401,193,Type_B,2.28
211,32,Type_C,0.98
310,419,Type_C,2.33
124,149,Type_B,0.92
405,19,Type_A,2.19
79,34,Type_B,1.46
478,497,Type_A,1.36
432,301,Type_C,3.32
94,13,Type_C,2.0
428,267,Type_B,2.96
401,170,Type_A,1.73
333,115,Type_C,1.51
459,111,Type_C,2.77
107,217,Type_B,2.95
125,351,Type_A,1.88
330,411,Type_A,2.69
310,167,Type_B,2.1
27,373,Type_B,2.17
375,153,Type_B,1.93
32,308,Type_A,1.39
277,484,Type_B,2.67
202,490,Type_C,1.97
189,371,Type_C,3.34
135,400,Type_C,0.51
427,428,Type_C,2.06
373,228,Type_C,3.39
122,237,Type_B,1.85
333,128,Type_B,3.22
165,135,Type_C,2.57
220,336,Type_A,1.43
326,354,Type_A,1.31
375,130,Type_A,0.97
266,223,Type_B,2.9
35,61,Type_B,3.06
409,388,Type_C,0.82
349,257,Type_B,3.45
487,307,Type_A,1.34
225,307,Type_C,1.08
371,361,Type_C,0.79
490,461,Type_A,1.7
398,234,Type_C,2.6
35,182,Type_A,2.67
464,445,Type_B,1.33
270,85,Type_C,3.35
28,143,Type_A,1.05
263,46,Type_A,2.59
286,438,Type_A,2.18
338,485,Type_C,1.71
413,399,Type_B,0.74
495,23,Type_C,0.92
364,357,Type_A,3.16
110,361,Type_C,2.32
202,444,Type_C,2.0
77,449,Type_A,3.03
91,204,Type_B,1.07
175,463,Type_A,1.49
404,286,Type_C,2.82
308,318,Type_A,1.66
51,396,Type_B,3.0
17,291,Type_B,1.62
490,474,Type_A,3.09
428,499,Type_A,2.3
408,32,Type_C,0.94
70,153,Type_A,1.36
404,407,Type_B,1.32
2,247,Type_B,1.25
292,86,Type_C,1.21
112,384,Type_C,2.64
44,100,Type_C,3.24
219,101,Type_B,3.19
288,497,Type_A,2.57
320,449,Type_B,2.66
134,30,Type_A,2.67
298,281,Type_B,1.0
283,387,Type_C,1.33
427,431,Type_B,3.41
476,144,Type_A,1.35
263,445,Type_C,3.28
115,281,Type_C,1.53
362,158,Type_A,3.05
402,459,Type_B,1.42
498,432,Type_B,0.76
376,443,Type_B,2.02
231,88,Type_A,2.24
242,363,Type_C,2.55
6,235,Type_A,3.45
149,171,Type_B,2.45
369,403,Type_C,2.2
236,139,Type_C,2.07
72,445,Type_B,2.31
468,153,Type_A,1.17
82,346,Type_B,0.62
336,491,Type_B,2.28
471,307,Type_A,1.42
163,191,Type_B,1.59
356,240,Type_A,2.61
148,211,Type_C,0.7
46,429,Type_A,3.1
172,239,Type_C,0.84
371,485,Type_C,1.01
183,434,Type_C,0.7
322,220,Type_B,1.57
282,147,Type_A,2.09
280,223,Type_C,2.76
245,494,Type_B,2.18
485,363,Type_B,2.5
289,42,Type_A,3.18
53,180,Type_C,2.09
386,240,Type_C,2.45
164,276,Type_B,0.84
380,166,Type_A,2.57
459,81,Type_C,2.23
110,76,Type_C,2.05
480,140,Type_A,2.38
232,38,Type_C,0.53
203,240,Type_B,0.69
370,237,Type_C,1.87
455,461,Type_C,2.1
361,188,Type_A,3.05
318,492,Type_A,0.58
339,20,Type_C,1.38
187,417,Type_B,3.41
14,80,Type_C,2.2
409,201,Type_B,1.02
126,141,Type_B,3.23
91,449,Type_A,3.48
425,474,Type_B,1.46
163,325,Type_B,1.23
437,448,Type_C,2.2
34,180,Type_A,1.04
198,282,Type_B,0.95
338,442,Type_C,3.13
201,28,Type_C,1.78
51,232,Type_A,3.28
441,9,Type_B,1.93
3,192,Type_C,2.6
349,191,Type_C,1.25
260,342,Type_A,2.09
41,75,Type_B,3.08
79,187,Type_B,0.81
70,218,Type_B,1.51
144,23,Type_C,2.39
457,254,Type_B,1.27
479,13,Type_C,1.61
456,29,Type_C,0.74
466,339,Type_B,2.17
258,310,Type_B,3.31
108,222,Type_B,2.4
281,293,Type_B,1.67
309,397,Type_B,2.38
263,101,Type_B,2.62
259,396,Type_B,1.72
85,94,Type_C,0.69
332,380,Type_A,1.24
326,157,Type_A,0.83
426,244,Type_C,1.73
134,481,Type_A,1.55
178,407,Type_A,3.42
432,323,Type_A,2.78
471,251,Type_B,2.97
362,344,Type_B,1.67
122,246,Type_A,1.19
162,90,Type_B,1.75
364,304,Type_B,1.52
372,165,Type_C,2.28
203,207,Type_A,2.89
194,387,Type_B,2.54
195,352,Type_B,1.26
478,411,Type_A,3.08
423,475,Type_C,1.07
192,54,Type_C,1.1
479,376,Type_B,1.66
442,345,Type_C,1.95
418,137,Type_C,1.6
